contract_name,contract_address,token_type,symbol,decimals
PoofMintableLendable,0xb789eB26B60585D91BafD8927189cc17b820D3C2,ERC-20,pEUR,18
HaveSomeFuckinMoney,0x0DbD6958DBC84382ec3Dfdcc4FE068D3D7f3bF80,ERC-20,SFM,18
ceLoot,0x6411549E7201e5587a19b413301BcaA9432aE3c0,ERC-721,CELOOT,
SANTRAST,0x888dEea85f486eaeFe3c84575045b5107b90DA25,ERC-20,SNR,18
SantrastOrg,0xfCc6CeDf0559064D8E24014cc2151170657363a2,ERC-20,SNRW,18
WETH9,0xE61c6A2df08269918448BAD6cb93F9EA59474eFd,ERC-20,WETH,18
ALIENO,0x26C17F72DEa13200F562E0438F718cF9e103D316,ERC-20,ALIENO,18
EggToken,0xe2739BF64D6ad3a5a43B0f10baF5081A9dbEF9B1,ERC-20,EGG,18
supraVaultV5,0x8C09Af664a2f1eC92A86c797f0fFcc471E25c84a,ERC-20,supraCELO-wETH_Sushiswap,18
Locker,0x4FdCCf26bc09ADA40752c17a27f6Ede21AE84af9,ERC-721,LP_LOCK,
supraVaultV5,0xace33022dC4870bD65F18112d2a3CAf413642087,ERC-20,supraMOO-mCELO_UbeSwap,18
supraVaultV5,0x66b8E9091B8B31D13BE872b22b52b9c8B9D2eF92,ERC-20,supracUSD/DAI_SushiSwap,18
BEP20Token,0x4A2b0596c01e0C93eEADD4735bFDb73D1CB99dc4,ERC-20,BTCDT,18
PoofMintableLendable,0xB4aa2986622249B1F45eb93F28Cfca2b2606d809,ERC-20,pUSD,18
PoofMintableLendable,0xE74AbF23E1Fdf7ACbec2F3a30a772eF77f1601E1,ERC-20,pCELO,18
PoofMintableLendable,0x56072D4832642dB29225dA12d6Fd1290E4744682,ERC-20,pEUR,18
wmcUSD,0x5b46A20284366F5e79D9B3e5e2FA0F5702b8C72F,ERC-20,wmcUSD,18
wmCELO,0xd3D7831D502Ab85319E1F0A18109aa9aBEBC2603,ERC-20,wmCELO,18
wmcEUR,0xb7e4e9329DA677969376cc76e87938563B07Ac6A,ERC-20,wmcEUR,18
PortalToken,0xd954C4c006189d967507b8ba758605364eB660D2,ERC-20,LAPIS,18
OBS,0x3db648A8173abAf27a5705c079a0bF951ff28432,ERC-20,OBS,18
AbsNFT,0x788C4B43B6E8a28858f2862D0A8af203C71B89af,ERC-721,ABSNFT,
CellToken,0x0631DD22cd83508f50ea11e1CAE82801Bb9904aC,ERC-20,CELL,18
NFT,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,ERC-721,SUP,
NFT,0x6b16AA519aDf0b6a6E726492E3be2Cb6852e5120,ERC-721,SUP,
BeefyVaultV6,0xa5aaE3a55cA356C62b5425AA4bFC212542B17777,ERC-20,mooSushicEUR-WETH,18
BeefyVaultV6,0xA338D34c5de06B88197609956a2dEAAfF7Af46c8,ERC-20,mooSushicUSD-cEUR,18
BeefyVaultV6,0x8a198BCbF313A5565c64A7Ed61FaA413eB4E0931,ERC-20,mooSushiCELO-WETH,18
BeefyVaultV6,0x7f6fE34C51d5352A0CF375C0Fbe03bD19eCD8460,ERC-20,mooSushicUSD-DAI,18
celoLaunch,0x82244CeA637b2fc499809be656f279F5a8d31cCc,ERC-20,cLA,18
SmolToken,0x0996D52FF86d5ae703bFcb5A808224944230d114,ERC-20,Smol,18
SyrupBar,0x696aEEaA0D7C039D1C2FD410bceae391C739186C,ERC-20,SYRUP,18
celoLaunch,0xC1CBe5aB272056166f0f1D26f091958a8Cc92F69,ERC-20,cLA,18
