chain,collection_name,collection_slug,contract_address,created_at,created_date,deploy_block_number,deploy_transaction_hash,description,discord_url,instagram_username,logo,medium_username,owner,protocol_slug,standard,symbol,telegram_url,total_supply,twitter_username,updated_at,website_url
Celo,NFT,nft,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,,2021-10-24,9505959,0x3eb7d0903e782651c1680d9d003ced227337d7ab27c9feab87e123534ad64892,,,,,,0xb5901482D09A34710AE006b99B5378D77B529422,,ERC-721,SUP,,12,,,
Celo,NFT,nft,0x6b16AA519aDf0b6a6E726492E3be2Cb6852e5120,,2021-10-25,9515724,0x98d4a85adb914bc4b53460a0cad0d7d64daab76e0616a094e134ca892099d28c,,,,,,0xb5901482D09A34710AE006b99B5378D77B529422,,ERC-721,SUP,,37,,,
Celo,NFT,nft,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,,2021-11-05,9704037,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,,,,,,0xb5901482D09A34710AE006b99B5378D77B529422,,ERC-721,CT,,72,,,
Celo,CeloToadzNFT,celotoadznft,0x86bEF3d8Ad9d30435da8c111BB67c510B8311721,,2021-11-05,9708071,0x6163441e8914bbc8df62ede23d999631969d061860bd74992654957ec55baf01,,,,,,0xD258A62A7476Fe329b1B4C1bD346b387faC432ae,,ERC-721,CTOADZ,,69,,,
Celo,SToadzNFT,stoadznft,0xA83a8C2f6a762F8BE760A0f45540E3864750dE0F,,2022-02-19,11537516,0x251c45aa8ec2403f5b4f1f88d0b0f4872c12e7e727dfe0fedcf51873b1a5f238,,,,,,0xfBC2B856C4485419bA7c9621c3CDD8cF84Ca0684,,ERC-721,STOADZ,,69,,,
Celo,Tatum721General,tatum721general,0xC49c2d52B3B4D0e3E52D1C8E0e10B13c82982E9d,,2022-03-03,11744000,0x1e9f18bdd9feca39ca8a503d45074ca15ab5b19c622e66084b36e0411e58290b,,,,,,0xCF9e127455D28e7362380AEc1b92DdEE8200b295,,ERC-721,TATUM_NFT,,12,,,
Celo,CeloMonkeyBusiness,celomonkeybusiness,0xe2BbaE9A94513736f8F4Aed5D399bd6B1e0Bfb48,,2022-03-08,11838874,0xcb92ab53c6f1692c06773a7dc7fff3fb0f077ae7957e558a410a5e572c8a876a,,,,,,0x17158aeA07349D967920Bc2cFc90bD1008fE01fC,,ERC-721,CeloMBS,,52,,,
Celo,Pixel,pixel,0x69dA5A4C381f1AeDfF548b44e122Fd1A9E3924D0,,2022-05-20,13098457,0x85deb6b105ed1578091cebc145c651470466eba0488c9af796a622c56f80674c,,,,,,0x4c92CC868a7FbFac7Dc3aF0D663f8D4D9C8E2A5E,,ERC-721,Pixel NFT,,13,,,
Celo,CeloWhales,celowhales,0x6eBc8879Ee57334B14a9B1e3A2fDe55E172193C6,,2022-08-02,14352095,0xef5279a60fa9e651a09511ec4ea3cf40b86ed62e33690fdfb8b5005c23c94b5d,,,,,,0x29a6520A99656e5b17A34471D5d458eFD3696695,,ERC-721,CWHALE,,11,,,
Celo,POAVToken,poavtoken,0x9eBF4D434139A90d8bB9c6da4E9e2FA909E711a7,,2022-08-23,14712966,0xb756746331caeff9fb9966e42d76c14b3fd2d0d31c13898cf7777ef4818d7c4d,,,,,,0x0Ca82c887265a45F81ea19Ba0b77479F1E81B919,,ERC-721,POAV,,27,,,
