amount_raw,block_date,block_number,block_timestamp,chain,collection_contract_address,from_address,internal_index,log_index,nft_token_id,to_address,transaction_hash,transfer_type
21,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,36,21,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
22,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,37,22,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
23,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,38,23,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
24,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,39,24,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
25,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,40,25,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
26,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,41,26,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
27,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,42,27,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
28,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,43,28,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
29,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,44,29,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
30,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,45,30,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
31,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,46,31,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
32,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,47,32,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
33,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,48,33,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
34,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,49,34,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
35,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,50,35,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
36,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,51,36,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
37,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,52,37,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
38,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,53,38,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
39,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,54,39,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
40,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,55,40,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
41,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,56,41,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
42,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,57,42,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
43,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,58,43,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
44,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,59,44,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
45,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,60,45,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
46,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,61,46,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
